一级目录,二级目录,目录,说明,国标
4. 生态环境产业,4.1生态农业,4.1.1现代农业种业及动植物种质资源保护,开展国家动植物种质资源保护工程，设计相关项目，实现动植物品种资源的有效保护。需符合《玉米种子生产技术操作规程》（GB/T17315）、《棉花原种生产技术操作规程》（GB/T3242）、《农作物种子检验规程总则》（GB/T3543.1）、《烟草种子繁育技术规程》（GB/T24308）、《草种子检验规程》（GB/T2930）、《豆科草种子质量分级》（GB6141）、《禾本科草种子质量分级》（GB6142）、《草品种审定技术规程》（GB/T30395）、《淡水鱼苗种池塘常规培育技术规范》（GB/T1008）、《海水虾类育苗水质要求》（GB/T21673）、《凡纳滨对虾育苗技术规范》（GB/T30890）、《水产新品种审定技术规范》（SC/T1116）等国家标准和行业标准，以及各类水产养殖动植物的种质、亲本和苗种、繁育技术规范检验方法。,《玉米种子生产技术操作规程》（GB/T17315）&《棉花原种生产技术操作规程》（GB/T3242）&《农作物种子检验规程总则》（GB/T3543.1）&《烟草种子繁育技术规程》（GB/T24308）&《草种子检验规程》（GB/T2930）&《豆科草种子质量分级》（GB6141）&《禾本科草种子质量分级》（GB6142）&《草品种审定技术规程》（GB/T30395）&《淡水鱼苗种池塘常规培育技术规范》（GB/T1008）&《海水虾类育苗水质要求》（GB/T21673）&《凡纳滨对虾育苗技术规范》（GB/T30890）&《水产新品种审定技术规范》（SC/T1116）
4. 生态环境产业,4.1生态农业,4.1.2绿色有机农业,需符合《有机产品》（GB/T19630.1-GB/T19630.4），农业部环境质量标准和农药、肥料、兽药、饲料及饲料添加剂、食品添加剂、动物卫生等7项通用准则性标准，及45项产品质量标准；产品标注需符合农业部《绿色食品标志管理办法》。,《有机产品》（GB/T19630.1-GB/T19630.4）
4. 生态环境产业,4.1生态农业,4.1.3农作物种植保护地、保护区建设和运营,对划定的永久基本农田采取保护措施。符合《保护农作物的大气污染物最高允许浓度》（GB9137）、《土壤环境质量标准农用地土壤污染风险管控标准（试行）》（GB15618）、《土壤环境质量标准建设用地土壤污染风险管控标准（试行）》（GB36600）、《农作物生产基地建设标准》（NY/T2246）等国家标准和行业标准。,《保护农作物的大气污染物最高允许浓度》（GB9137）&《土壤环境质量标准农用地土壤污染风险管控标准（试行）》（GB15618）&《土壤环境质量标准建设用地土壤污染风险管控标准（试行）》（GB36600）&《农作物生产基地建设标准》（NY/T2246）
4. 生态环境产业,4.1生态农业,4.1.4森林资源培育产业,包括良种生产、苗木培育、森林营造、森林抚育、森林主伐更新等。符合《森林抚育规程》（GB/T15781）、《林木种子检验规程》（GB2772）、《森林资源规划设计调查技术规程》（GB/T26424）、《造林技术规程》（GB/T15776）、《封山（沙）育林技术规程》（GB/T15163）、《飞播造林技术规程》（GB/T15162）等国家标准。,《森林抚育规程》（GB/T15781）&《林木种子检验规程》（GB2772）&《森林资源规划设计调查技术规程》（GB/T26424）&《造林技术规程》（GB/T15776）&《封山（沙）育林技术规程》（GB/T15163）&《飞播造林技术规程》（GB/T15162）
4. 生态环境产业,4.1生态农业,4.1.5林下种植和林下养殖产业,包括在林下或林间空地种植粮食作物、油料作物、药材、食用菌、饲草、蔬菜等，林下养殖家禽、放牧、或舍饲饲养家畜等。,《）
4. 生态环境产业,4.1生态农业,4.1.6碳汇林、植树种草及林木种苗花卉,符合《碳汇造林技术规程》（LY/T2252）、《碳汇造林项目计量监测指南》（LY/T2253）等行业标准。,《碳汇造林技术规程》（LY/T2252）&《碳汇造林项目计量监测指南》（LY/T2253）
4. 生态环境产业,4.1生态农业,4.1.7林业基因资源保护,符合《林木种子贮藏》（GB/T10016）、《林业基础信息代码编制规范》（LY/T2267）、《森林资源管理信息系统建设导则》（LY/T2185）、《主要造林阔叶树种良种选育程序与要求》（GB/T14073）等国家和行业标准。,《林木种子贮藏》（GB/T10016）&《林业基础信息代码编制规范》（LY/T2267）&《森林资源管理信息系统建设导则》（LY/T2185）&《主要造林阔叶树种良种选育程序与要求》（GB/T14073）
4. 生态环境产业,4.1生态农业,4.1.8绿色畜牧业,包括病死畜禽无害化处理体系、畜禽养殖废弃物贮存处理利用设施建设、高架床等养殖系统建设、构建“养殖+沼气+种植+加工”的循环农业产业链等。符合《畜禽规模养殖污染防治条例》、国务院《水污染防治行动计划》、《关于建立病死畜禽无害化处理机制的意见》等法规和政策。,《）
4. 生态环境产业,4.1生态农业,4.1.9绿色渔业,包括碳汇渔业及净水渔业、稻渔及盐碱水鱼农综合利用、循环水养殖、深水抗风浪及不投饵网箱养殖、水产品加工副产物综合利用，以及生态健康养殖有关模式等。符合《海洋牧场分类》（SC/T9111）、《草型湖泊网围养殖技术规范养鱼、养蟹、鱼蟹混养》（SC/T1091）、《稻田养鱼技术要求》（SC/T1009）、《稻渔综合种养技术规范第一部分：通则》（SC/T1135.1）、《低洼盐碱地池塘养殖技术规范》（SC/T1049）、《盐碱地水产养殖用水水质》（SC/T9406）、《水产养殖质量安全管理规范》（SC/T0004）、《淡水养殖池塘设施要求》（SC/T9101）、《海水养殖水排放要求》（SC/T9103）、《淡水网箱养鱼通用技术要求》（SC/T1006）、《淡水网箱养鱼操作技术规程》（SC/T1007）、《淡水网箱技术条件》（SC/T5027）、《浮动式海水网箱养鱼技术规范》（SC/T2013）、《水产品生产企业卫生注册规范》（SN/T1347）、《水产制品生产卫生规范》（GB20941）、《水产品危害分析与关键控制点（HACCP）体系及其应用指南》（GB/T19838）、《水产品加工企业要求》（GB/T27304）、《水产品加工质量管理规范》（SC/T3009）等国家标准和行业标准。,《海洋牧场分类》（SC/T9111）&《草型湖泊网围养殖技术规范养鱼、养蟹、鱼蟹混养》（SC/T1091）&《稻田养鱼技术要求》（SC/T1009）&《稻渔综合种养技术规范第一部分：通则》（SC/T1135.1）&《低洼盐碱地池塘养殖技术规范》（SC/T1049）&《盐碱地水产养殖用水水质》（SC/T9406）&《水产养殖质量安全管理规范》（SC/T0004）&《淡水养殖池塘设施要求》（SC/T9101）&《海水养殖水排放要求》（SC/T9103）&《淡水网箱养鱼通用技术要求》（SC/T1006）&《淡水网箱养鱼操作技术规程》（SC/T1007）&《淡水网箱技术条件》（SC/T5027）&《浮动式海水网箱养鱼技术规范》（SC/T2013）&《水产品生产企业卫生注册规范》（SN/T1347）&《水产制品生产卫生规范》（GB20941）&《水产品危害分析与关键控制点（HACCP）体系及其应用指南》（GB/T19838）&《水产品加工企业要求》（GB/T27304）&《水产品加工质量管理规范》（SC/T3009）
4. 生态环境产业,4.1生态农业,4.1.10森林游憩和康养产业,依托森林、草地、湿地、荒漠和野生动物植物资源等，开展游览观光、休闲体验、文化体育、健康养生等活动，符合《森林体验基地质量评定》（LY/T2788），《森林养生基地质量评定》（LY/T2789）等行业标准。,《森林体验基地质量评定》（LY/T2788）&《森林养生基地质量评定》（LY/T2789）
4. 生态环境产业,4.1生态农业,4.1.11农作物病虫害绿色防控,包括农作物病虫害绿色防控，化学农药减量增效、使用量零增长等。有条件地区，鼓励建立地方标准。,《）
4. 生态环境产业,4.2生态保护,4.2.1天然林资源保护,符合《林业资源分类与代码自然保护区》（GB/T15778）、《森林抚育规程》（GB/T15781）、《国有林区标准化苗圃》（LY/T1185）、《天然林资源保护工程建设评价技术规程》（LY/T1818）、《森林采伐作业规程》（LY/T1646）等国家标准和行业标准。,《林业资源分类与代码自然保护区》（GB/T15778）&《森林抚育规程》（GB/T15781）&《国有林区标准化苗圃》（LY/T1185）&《天然林资源保护工程建设评价技术规程》（LY/T1818）&《森林采伐作业规程》（LY/T1646）
4. 生态环境产业,4.2生态保护,4.2.2动植物资源保护,包括濒危野生动植物抢救性保护、生物多样性保护、渔业资源保护、古树名木保护等，符合《珍稀濒危野生植物保护小区技术规程》（LY/T1819）、《珍稀濒危野生植物种子采集技术规程》（LY/T2590）、《中国森林认证生产经营性珍稀濒危植物经营审核导则》（LY/T2603）、《生物多样性观测技术导则》（HJ710.1-HJ710.11）、《水生哺乳动物饲养设施要求》（SC/T6073）、《水族馆术语》（SC/T6074）、《水生哺乳动物谱系记录规范》（SC/T9409）、《水族馆水生哺乳动物驯养技术等级划分要求》（SC/T9410）、《水族馆水生哺乳动物驯养水质》（SC/T9411）、《自然保护区建设项目生物多样性影响评价技术规范》（LY/T2242）、《自然保护区生物多样性调查规范》（LY/T1814）、《森林生态系统生物多样性监测与评估规范》（LY/T2241）、《海洋调查规范》（GB/T9411）、《海洋渔业资源调查规范》（SC/T9403）、《水库渔业资源调查规范》（SL167）、《城市古树名木养护和复壮工程技术规范》（GB/T51168）、《古树名木复壮技术规程》（LY/T2494）等标准。,《珍稀濒危野生植物保护小区技术规程》（LY/T1819）&《珍稀濒危野生植物种子采集技术规程》（LY/T2590）&《中国森林认证生产经营性珍稀濒危植物经营审核导则》（LY/T2603）&《生物多样性观测技术导则》（HJ710.1-HJ710.11）&《水生哺乳动物饲养设施要求》（SC/T6073）&《水族馆术语》（SC/T6074）&《水生哺乳动物谱系记录规范》（SC/T9409）&《水族馆水生哺乳动物驯养技术等级划分要求》（SC/T9410）&《水族馆水生哺乳动物驯养水质》（SC/T9411）&《自然保护区建设项目生物多样性影响评价技术规范》（LY/T2242）&《自然保护区生物多样性调查规范》（LY/T1814）&《森林生态系统生物多样性监测与评估规范》（LY/T2241）&《海洋调查规范》（GB/T9411）&《海洋渔业资源调查规范》（SC/T9403）&《水库渔业资源调查规范》（SL167）&《城市古树名木养护和复壮工程技术规范》（GB/T51168）&《古树名木复壮技术规程》（LY/T2494）
4. 生态环境产业,4.2生态保护,4.2.3自然保护区建设和运营,符合《自然保护区名词术语》（GB/T31759）、《自然保护区类型与级别划分原则》（GB/T14529）、《自然保护区总体规划技术规程》（GB/T20399）、《自然保护区生态旅游规划技术规程》（GB/T20416）、《自然保护区管护基础设施建设技术规范》（HJ/T129）、《国家级自然保护区规范化建设和管理导则（试行）》（环函〔2009〕195号）、《自然保护区综合科学考察规程（试行）》（环函〔2010〕139号）等标准。,《自然保护区名词术语》（GB/T31759）&《自然保护区类型与级别划分原则》（GB/T14529）&《自然保护区总体规划技术规程》（GB/T20399）&《自然保护区生态旅游规划技术规程》（GB/T20416）&《自然保护区管护基础设施建设技术规范》（HJ/T129）
4. 生态环境产业,4.2生态保护,4.2.4生态功能区建设维护和运营,符合国家环境保护部《国家重点生态功能区保护和建设规划编制技术导则》有关规定。,《）
4. 生态环境产业,4.2生态保护,4.2.5国家公园、世界遗产、国家级风景名胜区、国家森林,公园、国家地质公园、国家湿地公园等保护性运营符合国家有关国家公园体制、国家地质公园和自然遗产所在地相关文件要求（如国土资源部《国家地质公园规划编制技术要求》等）。,《）
4. 生态环境产业,4.3生态修复,4.3.1退耕还林还草和退牧还草工程建设,符合《退耕还林工程建设效益监测评价》（GB/T23233）、《退耕还林工程检查验收规则》（GB/T23231）、《退耕还林工程质量评估指标与方法》（GB/T23235）等国家标准和农业部《关于进一步加强退牧还草工程实施管理的意见》（农牧发［2005］4号）要求。,《退耕还林工程建设效益监测评价》（GB/T23233）&《退耕还林工程检查验收规则》（GB/T23231）&《退耕还林工程质量评估指标与方法》（GB/T23235）
4. 生态环境产业,4.3生态修复,4.3.2河湖与湿地保护恢复,符合《湿地分类》（GB/T24708）、《重要湿地监测指标体系》（GB/T27648）、《国家重要湿地确定指标》（GB/T26535）、《湿地生态风险评估技术规范》（GB27647）等国家标准和《河湖生态保护与修复规划导则》（SL709）等行业标准。,《湿地分类》（GB/T24708）&《重要湿地监测指标体系》（GB/T27648）&《国家重要湿地确定指标》（GB/T26535）&《湿地生态风险评估技术规范》（GB27647）&《河湖生态保护与修复规划导则》（SL709）
4. 生态环境产业,4.3生态修复,4.3.3增殖放流与海洋牧场建设和运营,符合《海洋牧场分类》（SC/T9111）、《人工鱼礁建设技术规范》（SC/T9416）、《人工鱼礁资源养护效果评价技术规范》（SC/T9417）、《水生生物增殖放流技术规程》（SC/T9401）、《水生生物增殖放流技术规范大黄鱼》（SC/T9413）、《水生生物增殖放流技术规范大鲵》（SC/T9414）、《水生生物增殖放流技术规范三疣梭子蟹》（SC/T9415）、《水生生物增殖放流技术规范科鱼类》（SC/T9418）、《水生生物增殖放流技术规范中国对虾》（SC/T9419）、《水生生物增殖放流技术规范日本对虾》（SC/T9421）、《水生生物增殖放流技术规范鲆鲽类》（SC/T9422）等标准，以及农业农村部《国家级海洋牧场示范区管理工作规范（试行）》（农办渔〔2017〕59号）、《人工鱼礁建设项目管理实施细则（试行）》（农办渔〔2017〕58号）、《水产苗种违禁药物抽检技术规范》（农业部1192号公告）等要求。,《海洋牧场分类》（SC/T9111）&《人工鱼礁建设技术规范》（SC/T9416）&《人工鱼礁资源养护效果评价技术规范》（SC/T9417）&《水生生物增殖放流技术规程》（SC/T9401）&《水生生物增殖放流技术规范大黄鱼》（SC/T9413）&《水生生物增殖放流技术规范大鲵》（SC/T9414）&《水生生物增殖放流技术规范三疣梭子蟹》（SC/T9415）&《水生生物增殖放流技术规范科鱼类》（SC/T9418）&《水生生物增殖放流技术规范中国对虾》（SC/T9419）&《水生生物增殖放流技术规范日本对虾》（SC/T9421）&《水生生物增殖放流技术规范鲆鲽类》（SC/T9422）
4. 生态环境产业,4.3生态修复,4.3.4国家生态安全屏障保护修复,符合《生态环境状况评价技术规范》（HJ192）、《外来物种环境风险评估技术导则》（HJ624）、《区域生物多样性评价标准》（HJ623）、《河湖生态修复与保护规划导则》（SL709）、《矿山生态环境保护与恢复治理技术规范（试行）》（HJ651）、《生物多样性观测技术导则》（HJ710.1-HJ710.11）、《土地复垦质量控制标准》（TD/T1036）、《土地复垦方案编制规程》（TD/T1031.1-TD/T1031.7）、《生产项目土地复垦验收规程》（TD/T1044）、《矿山土地复垦基础信息调查规程》（TD/T1049）、《关于推进山水林田湖生态保护修复工作的通知》（财建〔2016〕725号）等行业标准开展的生态安全和屏障保护修复行动。,《生态环境状况评价技术规范》（HJ192）&《外来物种环境风险评估技术导则》（HJ624）&《区域生物多样性评价标准》（HJ623）&《河湖生态修复与保护规划导则》（SL709）&《矿山生态环境保护与恢复治理技术规范（试行）》（HJ651）&《生物多样性观测技术导则》（HJ710.1-HJ710.11）&《土地复垦质量控制标准》（TD/T1036）&《土地复垦方案编制规程》（TD/T1031.1-TD/T1031.7）&《生产项目土地复垦验收规程》（TD/T1044）&《矿山土地复垦基础信息调查规程》（TD/T1049）
4. 生态环境产业,4.3生态修复,4.3.5重点生态区域综合治理,包括京津风沙治理、岩溶石漠化综合治理、青海三江源等重点生态区域的生态保护与建设。需符合京津风沙治理、岩溶石漠化综合治理、青海三江源有关工程管理办法和要求，以及《封山（沙）育林技术规程》（GB/T15163）、《造林技术规程》（GB/T15776）、《防沙治沙技术规范》（GB/T21141）、《沙化土地监测技术规程》（GB/T24255）、《开发建设项目水土流失防治标准》（GB50434）、《水土保持综合治理技术规范荒地治理技术》（GB/T16453.2）、《水土保持工程设计规范》（GB51018）、《湿地分类》（GB/T24708）、《重要湿地监测指标体系》（GB/T27648）、《国家重要湿地确定指标》（GB/T26535）、《湿地生态风险评估技术规范》（GB27647）、《河湖生态保护与修复规划导则》（SL709）等标准。,《封山（沙）育林技术规程》（GB/T15163）&《造林技术规程》（GB/T15776）&《防沙治沙技术规范》（GB/T21141）&《沙化土地监测技术规程》（GB/T24255）&《开发建设项目水土流失防治标准》（GB50434）&《水土保持综合治理技术规范荒地治理技术》（GB/T16453.2）&《水土保持工程设计规范》（GB51018）&《湿地分类》（GB/T24708）&《重要湿地监测指标体系》（GB/T27648）&《国家重要湿地确定指标》（GB/T26535）&《湿地生态风险评估技术规范》（GB27647）&《河湖生态保护与修复规划导则》（SL709）
4. 生态环境产业,4.3生态修复,4.3.6矿山生态环境恢复,符合《矿山地质环境保护与土地复垦方案》、《矿山生态环境保护与恢复治理技术规范》（HJ651）、《矿山生态环境保护与恢复治理方案（规划）编制规范（试行）》（HJ652）、《矿山废弃地植被恢复技术规程》（LY/T2356）、《土地复垦质量控制标准》（TD/T1036）、《土地复垦方案编制规程》（TD/T1031.1-TD/T1031.7）、《生产项目土地复垦验收规程》（TD/T1044）、《矿山土地复垦基础信息调查规程》（TD/T1049）、《矿山环境地质分类》（GB/T22206）等标准。,《矿山地质环境保护与土地复垦方案》、《矿山生态环境保护与恢复治理技术规范》（HJ651）&《矿山生态环境保护与恢复治理方案（规划）编制规范（试行）》（HJ652）&《矿山废弃地植被恢复技术规程》（LY/T2356）&《土地复垦质量控制标准》（TD/T1036）&《土地复垦方案编制规程》（TD/T1031.1-TD/T1031.7）&《生产项目土地复垦验收规程》（TD/T1044）&《矿山土地复垦基础信息调查规程》（TD/T1049）&《矿山环境地质分类》（GB/T22206）
4. 生态环境产业,4.3生态修复,4.3.7荒漠化、石漠化和水土流失综合治理,符合《防沙治沙技术规范》（GB/T21141）、《沙化土地监测技术规程》（GB/T24255）、《喀斯特石漠化地区植被恢复技术规程》（LY/T1840）、《喀斯特石漠化山地经济林栽培技术规程》（LY/T2829）、《开发建设项目水土流失防治标准》（GB50434）、《水土保持综合治理技术规范荒地治理技术》（GB/T16453.2）、《水土保持工程设计规范》（GB51018）、《水土保持术语》（GB/T20465）等标准。,《防沙治沙技术规范》（GB/T21141）&《沙化土地监测技术规程》（GB/T24255）&《喀斯特石漠化地区植被恢复技术规程》（LY/T1840）&《喀斯特石漠化山地经济林栽培技术规程》（LY/T2829）&《开发建设项目水土流失防治标准》（GB50434）&《水土保持综合治理技术规范荒地治理技术》（GB/T16453.2）&《水土保持工程设计规范》（GB51018）&《水土保持术语》（GB/T20465）
4. 生态环境产业,4.3生态修复,4.3.8有害生物灾害防治,符合《外来物种环境风险评估技术导则》（HJ624）、《自然保护区外来入侵种管理规范》（LY/T2243）等标准。,《外来物种环境风险评估技术导则》（HJ624）&《自然保护区外来入侵种管理规范》（LY/T2243）
4. 生态环境产业,4.3生态修复,4.3.9水生态系统旱涝灾害防控及应对,符合《洪涝灾情评估标准》（SL579）、《湿地生态风险评估技术规范》（GB/T27647）等行业标准。,《洪涝灾情评估标准》（SL579）&《湿地生态风险评估技术规范》（GB/T27647）
4. 生态环境产业,4.3生态修复,4.3.10地下水超采区治理与修复,华北、东北等地区地下水超采区治理与修复相关研究及工程项目。,《）
4. 生态环境产业,4.3生态修复,4.3.11采煤沉陷区综合治理,包括因采煤沉陷引发的土地整治、生态修复与环境整治以及采煤沉陷区影响范围内居民避险搬迁，基础设施和公共服务设施修复提升、非煤接续替代产业平台建设等。,《）
4. 生态环境产业,4.3生态修复,4.3.12农村土地综合整治,开展山水路林村综合整治，优化生产生活生态空间，推进美丽宜居乡村建设，包括低效农用地整理、低效闲散建设用地整治、工矿废弃地复垦和空心村整治等。符合《土地整治术语》（TD/T1054）、《土地整治项目基础调查规范（TD/T1051）》、《美丽乡村建设指南》（GBT32000）、《村庄整治技术规范》（GB50445）等标准。,《土地整治术语》（TD/T1054）&《土地整治项目基础调查规范（TD/T1051）&《美丽乡村建设指南》（GBT32000）&《村庄整治技术规范》（GB50445）
4. 生态环境产业,4.3生态修复,4.3.13海域、海岸带和海岛综合整治,开展近岸海域综合治理，实施蓝色海湾整治和自然岸线修复，保护修复海岛自然资源和生态环境。,《）
5. 基础设施绿色升级,5.1建筑节能与绿色建筑,5.1.1超低能耗建筑建设,指超低能耗建筑的设计和建造。其中，居住建筑需符合《被动式超低能耗绿色建筑技术导则（试行）（居住建筑）》。,《）
5. 基础设施绿色升级,5.1建筑节能与绿色建筑,5.1.2绿色建筑,指绿色建筑的设计和建造。建筑需达到《绿色建筑评价标准》（GB/T50378）、《绿色工业建筑评价标准》（GB/T50878）等标准中一星及以上标准要求，达到《绿色航站楼标准》（MH/T5033）、《烟草行业绿色工房评价标准》（YC/T396）等行业标准相关要求。,《绿色建筑评价标准》（GB/T50378）&《绿色工业建筑评价标准》（GB/T50878）&《绿色航站楼标准》（MH/T5033）&《烟草行业绿色工房评价标准》（YC/T396）
5. 基础设施绿色升级,5.1建筑节能与绿色建筑,5.1.3建筑可再生能源应用,指建筑可再生能源应用系统的设计和建造，需符合《民用建筑太阳能热水系统应用技术标准》（GB50364）、《民用建筑太阳能光伏系统应用技术规范》（JGJ203）、《地源热泵系统工程技术规范》（GB50366）、《可再生能源建筑应用工程评价标准》（GB/T50801）等标准。,《民用建筑太阳能热水系统应用技术标准》（GB50364）&《民用建筑太阳能光伏系统应用技术规范》（JGJ203）&《地源热泵系统工程技术规范》（GB50366）&《可再生能源建筑应用工程评价标准》（GB/T50801）
5. 基础设施绿色升级,5.1建筑节能与绿色建筑,5.1.4装配式建筑,指装配式建筑的设计和建造，需符合《装配式木结构建筑技术标准》（GB/T51233）、《装配式钢结构建筑技术标准》（GB/T51232）、《装配式混凝土建筑技术标准》（GB/T51231）等国家标准，建筑需达到《装配式建筑评价标准》（GB/T51129）A级及以上标准要求。,《装配式木结构建筑技术标准》（GB/T51233）&《装配式钢结构建筑技术标准》（GB/T51232）&《装配式混凝土建筑技术标准》（GB/T51231）&《装配式建筑评价标准》（GB/T51129）
5. 基础设施绿色升级,5.1建筑节能与绿色建筑,5.1.5既有建筑节能及绿色化改造,指对既有建筑实施节能和绿色化改造，需符合《既有居住建筑节能改造技术规程》（JGJ/T129）、《公共建筑节能改造技术规范》（JGJ176）、《既有建筑绿色改造评价标准》（GB/T51141）等标准。,《既有居住建筑节能改造技术规程》（JGJ/T129）&《公共建筑节能改造技术规范》（JGJ176）&《既有建筑绿色改造评价标准》（GB/T51141）
5. 基础设施绿色升级,5.1建筑节能与绿色建筑,5.1.6物流绿色仓储,指对物流仓储场所的绿色建设和改造，需达到《绿色仓储要求与评价》（SB/T11164）等标准。,《绿色仓储要求与评价》（SB/T11164）
5. 基础设施绿色升级,5.2绿色交通,5.2.1不停车收费系统建设和运营,包括高速公路扣费系统、市区过桥系统、隧道自动扣费系统、停车场不停车交费系统等建设和运营。,《）
5. 基础设施绿色升级,5.2绿色交通,5.2.2港口、码头岸电设施及机场廊桥供电设施建设,包括在集装箱、客滚、干散货、邮轮、长江通用散货等专业化泊位开展电气设备系统、通讯与安全系统、监控系统等岸电设施建设，实施船舶受电设施设备改造等。,《）
5. 基础设施绿色升级,5.2绿色交通,5.2.3集装箱多式联运系统建设和运营,包括普通集装箱、大宗物资、冷链运输、危险品运输、汽车整车运输、快递包裹等特种物资多式联运系统和运营。,《）
5. 基础设施绿色升级,5.2绿色交通,5.2.4智能交通体系建设和运营,包括交通指挥中心系统与设备、电子警察系统与设备、交通视频监视系统与设备、卡口系统与设备、交通信号控制系统与设备、智能公交系统与设备、城市智慧汽车基础设施、智能停车系统与设备、交通信息采集发布系统与设备、GPS与警用系统与设备、出租车信息服务管理系统与设备、综合客运枢纽信息化系统与设备、路网综合管理系统、智能化新一代民航旅客服务系统（PSS）、智慧机场管理系统、旅游联程联运信息服务系统等建设和运营。,《）
5. 基础设施绿色升级,5.2绿色交通,5.2.5充电、换电、加氢和加气设施建设和运营,包括分布式交流充电桩，集中式快速充电站、换电设施、站用加氢及储氢设施、汽车和船舶天然气加注站、城市公共充电设施、城际快速充电网络等建设和运营。,《）
5. 基础设施绿色升级,5.2绿色交通,5.2.6城市慢行系统建设和运营,包括步行交通系统建设、自行车交通系统建设、非机动车停车设施建设、公共自行车租赁点建设、都市绿道建设、道路交叉口路灯优化、路段过街设施建设、慢行系统优化等。,《）
5. 基础设施绿色升级,5.2绿色交通,5.2.7城乡公共交通系统建设和运营,包括城市轻轨、地下铁道等快速轨道交通，城乡公交道路（含快速公交道路）建设、改造及运营，公交车辆购买等。购置车辆应符合《营运客车燃料消耗量限值及测量方法》（JT/T711）等标准。,《营运客车燃料消耗量限值及测量方法》（JT/T711）
5. 基础设施绿色升级,5.2绿色交通,5.2.8共享交通设施建设和运营,包括公共租赁自行车、互联网租赁自行车、互联网租赁电动自行车、互联网租赁汽车、汽车分时租赁系统、立体停车设施设备、自行车停车设施等建设和运营。,《）
5. 基础设施绿色升级,5.2绿色交通,5.2.9公路甩挂运输系统建设和运营,包括甩挂作业站场、甩挂运输管理信息系统等建设运营和改造。,《）
5. 基础设施绿色升级,5.2绿色交通,5.2.10货物运输铁路建设运营和铁路节能环保改造,包括运送货物的铁路及相关场所建设和运营，以及既有铁路电气化改造、铁路场站节能环保改造、铁路设备节能环保改造、废弃铁路复垦等。铁路场所建设需达到《绿色铁路客站评价标准》（TB/T10429）相关要求。,《绿色铁路客站评价标准》（TB/T10429）
5. 基础设施绿色升级,5.3环境基础设施,5.3.1污水处理、再生利用及污泥处理处置设施建设运营,包括城镇和农村污水处理设施及再生利用建设和改造，污泥浓缩、调理和脱水等减量化设施建设和改造，厌氧消化处理、高温好氧发酵处理、石灰稳定、热干化、焚烧等处理设施建设、运营和改造，以及污泥的运输和储存等。设施建设、运行需符合《城镇污水处理厂污染物排放标准》（GB18918）等标准要求。污泥处理处置需符合《农用污泥中污染物控制标准》（GB4284）、《城镇污水处理厂污泥泥质》（GB/T24188）、《城镇污水处理厂污泥处置混合填埋用泥质》（GB/T23485）、《城镇污水处理厂污泥处置单独焚烧用泥质》（GB/T24602）、《城镇污水处理厂污泥处置土地改良用泥质》（GB/T24600）、《城镇污水处理厂污泥处理稳定标准》（CJ/T510）等标准。,《城镇污水处理厂污染物排放标准》（GB18918）&《农用污泥中污染物控制标准》（GB4284）&《城镇污水处理厂污泥泥质》（GB/T24188）&《城镇污水处理厂污泥处置混合填埋用泥质》（GB/T23485）&《城镇污水处理厂污泥处置单独焚烧用泥质》（GB/T24602）&《城镇污水处理厂污泥处置土地改良用泥质》（GB/T24600）&《城镇污水处理厂污泥处理稳定标准》（CJ/T510）
5. 基础设施绿色升级,5.3环境基础设施,5.3.2生活垃圾处理设施建设和运营,包括城镇和农村处理设施建设和运营，设施运行需符合《生活垃圾焚烧污染控制标准》（GB18485）等标准。,《生活垃圾焚烧污染控制标准》（GB18485）
5. 基础设施绿色升级,5.3环境基础设施,5.3.3环境监测系统建设和运营,包括大气颗粒物组分监测网、大气光化学监测网、大气环境天地空大型立体综合观测网、声环境监测网等建设和运营，采样分析设备、监测仪器、计算机、数据处理平台（包括数据采集、传输、上报等）、监测车辆等监测及检测仪器设备需符合相关标准要求。,《）
5. 基础设施绿色升级,5.3环境基础设施,5.3.4城镇污水收集系统排查改造建设修复,包括城镇污水管网的排查、疏浚、改造与修复完善，污（雨）水调蓄设施的改造与建设，污水管网地理信息系统（GIS）的建设和运营等。,《）
5. 基础设施绿色升级,5.3环境基础设施,5.3.5城镇供水管网分区计量漏损控制建设和运营,包括城镇公共供水设施改造建设，流量计量、水质监测、压力调控、数据采集与远传等供水管网漏损控制设备设施改造建设和运营。,《）
5. 基础设施绿色升级,5.3环境基础设施,5.3.6入河排污口排查整治及规范化建设和运营,包括运用无人机、水下机器人等仪器设备进行入河排污口排查和上游排污管线巡查巡检，制订更新排污口位置图、排污管线图，对不符合要求的入河排污口按照相关技术规定进行拆除关闭、归并纳管、清理整治，对相关排污管线进行修复、改造和维护，按照要求开展入河排污口规范化建设，开展入河排污口相关监测、数据采集与传输等设施建设和运营。,《）
5. 基础设施绿色升级,5.4城镇能源基础设施,5.4.1城镇集中供热系统清洁化建设运营和改造,包括城镇集中供热锅炉节能环保改造、城镇集中供热管网节能改造、低品位工业余热供暖系统建设运营、因地制宜实施清洁热源替代等。,《）
5. 基础设施绿色升级,5.4城镇能源基础设施,5.4.2城镇电力设施智能化建设运营和改造,包括电力需求侧管理平台开发建设、电能替代、用电设备智能化改造等。,《）
5. 基础设施绿色升级,5.4城镇能源基础设施,5.4.3城镇一体化集成供能设施建设和运营,包括多能互补利用设施、分布式供能系统、智能微网等建设和运营。,《）
